method,ell,Nxy,k,Nt,dt,setup_time_sec,solve_time_sec,total_time_sec,setup_speedup,solve_speedup,total_speedup,pod_tail
Snapshot DG-FOM,,64,2,1000,5.000000000000e-03,3.850870634022e+00,7.128832499043e+01,7.595279543300e+01,,,,
Reference DG-FOM,,64,2,8000,6.250000000000e-04,3.854241011024e+00,5.770512185504e+02,5.820959909710e+02,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,
DG-POD,1.000000000000e+01,64,2,8000,6.250000000000e-04,6.768548379769e-01,2.833535359241e-02,9.033118959633e-01,5.694339162212e+00,2.036506150059e+04,6.444019984374e+02,1.463792054612e-01
DG-POD,2.000000000000e+01,64,2,8000,6.250000000000e-04,6.647069819155e-01,2.678265253780e-02,8.434527108911e-01,5.798406088525e+00,2.154570828023e+04,6.901347087450e+02,9.749524106148e-02
DG-POD,5.000000000000e+01,64,2,8000,6.250000000000e-04,9.069761609426e-01,3.795965167228e-02,1.134772593970e+00,4.249550514115e+00,1.520169951854e+04,5.129626799801e+02,4.823772974570e-02
DG-POD,1.000000000000e+02,64,2,8000,6.250000000000e-04,1.230534284958e+00,4.993608378572e-02,1.462906350964e+00,3.132168732021e+00,1.155579642622e+04,3.979037964990e+02,2.253904375200e-02
DG-POD,2.000000000000e+02,64,2,8000,6.250000000000e-04,1.796390159929e+00,1.111917209928e-01,2.169786411978e+00,2.145547830866e+00,5.189695900001e+03,2.682734059711e+02,6.520068220123e-03
